F001001001VERDURAS                      01001.png
F001002002FRUTERIA                      01002.png
F001006003CONGELAT                      01006.png
F101011004MANTEGATS I POLVORON          01011.png
F101012005MANTEGADES I POLVOR.          01012.png
F101013006MANTECAT I POLVORONS          01013.png
F002003001QUESOS                        02003.png
F002004002CHARCUTERIA                   02004.png
F002005003CARNICERIA                    02005.png
F002007004ELABORADOS                    02007.png
F002008005VEDELLA                       02008.png
F002009006XAI                           02009.png
F002010007AVIRAM                        02010.png
51800459010001000000100143U0000ACELGA MANOJO P.U.       0000010000000000000000000000000
51800092010002000000100189W0000ALBERGINIA EXTRA P.K     0000010000000000000000000000000
51800080010003000000100179U0000ALLS BOSSA (3 C.) P.     0000010000000000000000000000000
51800142010004000000100199U0000BLAT MORO CUIT P.U.      0000020000000000000000000000000
51800094010005000000100169U0000BROQUIL P.U.             0000010000000000000000000000000
51800097010006000000100179U0000CALDO SAFATA EXTRA P     0000010000000000000000000000000
50800096010007000000100113W0000CARBASSA VIOLI P.K.      0000010000000000000000000000000
50800095010008000000100165W0000CARBASSO EXTRA P.K.      0000010000000000000000000000000
51800085010009000000100385W0000CARXOFA P.K.             0000010000000000000000000000000
50800102010011000000100239W0000CEBA DOLÇA P.K.          0000010000000000000000000000000
50800103010012000000100225W0000CEBA FIGUERES P.K.       0000010000000000000000000000000
51800106010013000000100275U0000CEBA TENDRA P.U.         0000010000000000000000000000000
50800592010014000000100125W0000CEBOLLA RECA CAJA 10     0000010000000000000000000000000
50800183010015000000100245W0000COGOMBRE EXTRA P.K.      0000010000000000000000000000000
51801418010016000000100305W0000COGOMBRE HOLANDES P.     0000010000000000000000000000000
51800277010017000000100129W0000COL P.K.                 0000010000000000000000000000000
51800261010018000000100245U0000COL-I-FLOR BLANCA P.     0000010000000000000000000000000
51800120010019000000100389U0000COR DE CABDELL P.U.      0000010000000000000000000000000
51800121010020000000100295U0000COR ENCIAM B/2 UNITA     0000010000000000000000000000000
51800013010021000000100155U0000ENCIAM ICEBERG P.U.      0000010000000000000000000000000
51800123010022000000100265U0000ENDIBIES SAFATA P.U.     0000010000000000000000000000000
51800598010023000000100409U0000ESPARRAGO VERDE P.U.     0000010000000000000000000000000
51800129010024000000100719U0000ESPARREC VERD EXTRA      0000010000000000000000000000000
51800270010026000000100805W0000MONGETA HELDA P.K.       0000010000000000000000000000000
51800162010028000000100229W0000NAP GRANEL P.K.          0000010000000000000000000000000
51800243010029000000100103U0000PASTANAGA BOSSA 1/2      0000010000000000000000000000000
51800246010030000000100189U0000PASTANAGA FLOW-PACK      0000010000000000000000000000000
51800174010032000000100495U0000PATATA MONALISA B/3      0000010000000000000000000000000
50800175010033000000100159W0000PATATA MONALISA CAIX     0000010000000000000000000000000
51800181010034000000100559U0000PATATA TRUMFEROLES B     0000010000000000000000000000000
51800275010035000000100165W0000PATATA VERMELLA RED      0000010000000000000000000000000
50800192010036000000100415W0000PEBROT ITALIA EXTRA      0000010000000000000000000000000
50800196010038000000100455W0000PEBROT VERMELL EXTRA     0000010000000000000000000000000
51800216010039000000100189W0000PORRO EXTRA P.K.         0000010000000000000000000000000
51800218010040000000100143U0000REMOLATXA CUITA P.U.     0000020000000000000000000000000
50800236010041000000100209W0000TOMAQUET BRANCA P.K.     0000010000000000000000000000000
51800232010042000000100165W0000TOMAQUET MADUR ESTAN     0000010000000000000000000000000
50800231010043000000100229W0000TOMAQUET MADUR P.K.      0000010000000000000000000000000
50800281010044000000100515W0000TOMAQUET PENJAR P.K.     0000010000000000000000000000000
51800227010045000000100165U0000TOMAQUET PENJAR TERR     0000010000000000000000000000000
51800234010046000000100265W0000TOMAQUET PERA P.K.       0000010000000000000000000000000
51800235010047000000100475W0000TOMAQUET RAF EXTRA P     0000010000000000000000000000000
51800237010048000000100285W0000TOMAQUET VERD P.K.       0000010000000000000000000000000
51800224010049000000100209U0000TOMAQUET XERRY SAFAT     0000010000000000000000000000000
51800109010050000000100195U0000XAMPINYO SAFATA P.U.     0000010000000000000000000000000
51800241010051000000100245W0000XIRIVIES GRANEL P.K.     0000010000000000000000000000000
51800091010053000000100115W0000ALBERGINIA P.K.          0000010000000000000000000000000
50800093010077000000100275W0000MONIATOS P.K.            0000010000000000000000000000000
50801305010083000000100705W0000CASTANYES P.K.           0000010000000000000000000000000
51800195010155000000100295W0000PEBROT VERMELL P.K.      0000010000000000000000000000000
50800012010025000000200455W0000PERA BLANQUILLA P.K.     0000010000000000000000000000000
50800137010027000000200359W0000KIWI STANDARD P.K.       0000010000000000000000000000000
51800267010052000000200429W0000NESPRE EXTRA P.K.        0000010000000000000000000000000
51800269010054000000200199W0000SINDRIA SENSE LLAVOR     0000010000000000000000000000000
51800221010055000000200249W0000SINDRIA FASHION P.K.     0000010000000000000000000000000
50800115010056000000200535W0000PRUNA GROGA P.K.         0000010000000000000000000000000
51800154010057000000200289W0000PRESSEC VERMELL P.K.     0000010000000000000000000000000
51800164010058000000200295W0000NECTARINA P.K.           0000010000000000000000000000000
51800170010059000000200275W0000PRESSEC PARAGUAIA P.     0000010000000000000000000000000
51800152010060000000200275W0000PRESSEC BLANC P.K.       0000010000000000000000000000000
51800083010063000000200335W0000ALBERCOC P.K.            0000010000000000000000000000000
51800074010064000000200179U0000ALVOCAT EXTRA 16/18      0000010000000000000000000000000
51800090010065000000200219W0000BANANA EXTRA P.K.        0000010000000000000000000000000
51800151010066000000200325W0000PRESSEC GROC P.K.        0000010000000000000000000000000
51800260010068000000200143U0000COCOS P.U.               0000010000000000000000000000000
51800138010069000000200585W0000KIWI ZESPRI P.K.         0000010000000000000000000000000
51800141010070000000200339W0000LIMA P.K.                0000010000000000000000000000000
50800005010071000000200265W0000LLIMONA EXTRA P.K.       0000010000000000000000000000000
51800257010072000000200615W0000PRUNA CLAUDIA P.K.       0000010000000000000000000000000
51800229010074000000200145W0000PERA LLIMONERA P.K.      0000010000000000000000000000000
51800004010075000000200255W0000MANDARINA ESTANDAR P     0000010000000000000000000000000
51801332010076000000200299W0000SHARONI P.K.             0000010000000000000000000000000
51800597010078000000200475W0000MANGO BARCO P.K.         0000010000000000000000000000000
51800264010079000000200375W0000MELO BOLLO P.K.          0000010000000000000000000000000
51800156010080000000200529W0000MELO CANTALOUP P.K.      0000010000000000000000000000000
50801301010081000000200425W0000CAQUI PERSIMON P.K.      0000010000000000000000000000000
51800113010082000000200889W0000XIMIMOIA P.K.            0000010000000000000000000000000
50800165010085000000200749W0000NOU P.K.                 0000010000000000000000000000000
51801300010086000000200375W0000MAGRANES P.K.            0000010000000000000000000000000
51800184010087000000200489W0000PERA COMICE P.K.         0000010000000000000000000000000
50800011010088000000200379W0000PERA CONFERENCE EXTR     0000010000000000000000000000000
51800185010089000000200295W0000PERA CONFERENCIA IMP     0000010000000000000000000000000
50800003010090000000200299W0000MANDARINA EXTRA P.K.     0000010000000000000000000000000
51804590010091000000200735W0000RAIM BLANC ESTANDAR      0000010000000000000000000000000
51800198010094000000200295W0000PINYA DEL MONTE P.K.     0000010000000000000000000000000
51800199010095000000200245W0000PINYA P.K.               0000010000000000000000000000000
50802794010096000000200415W0000PLATAN CAIXA 9 kg P.     0000010000000000000000000000000
51800202010097000000200369W0000PLATAN CANARI EXTRA      0000010000000000000000000000000
50800144010099000000200335W0000POMA FUJI 18/20 P.K.     0000010000000000000000000000000
50800145010100000000200305W0000POMA GOLDEN MARLENE      0000010000000000000000000000000
51800009010101000000200239W0000POMA GOLDEN 18/20 P.     0000010000000000000000000000000
51800146010102000000200305W0000POMA GRANNY SMITH 18     0000010000000000000000000000000
51800147010103000000200399W0000POMA PINK LADY P.K.      0000010000000000000000000000000
51800149010104000000200315W0000POMA ROYAL GALA 18/2     0000010000000000000000000000000
50800148010105000000200295W0000POMA VERMELLA EXTRA      0000010000000000000000000000000
51800007010106000000200245W0000POMELO ROSA P.K.         0000010000000000000000000000000
50800116010113000000200379W0000PRUNA VERMELLA PK.       0000010000000000000000000000000
51800239010114000000200759W0000RAIM BLANC EXTRA P.K     0000010000000000000000000000000
51800240010115000000200519W0000RAIM RED GLOBE P.K.      0000010000000000000000000000000
51800001010118000000200379U0000TARONJA BOSSA 2 kg P     0000010000000000000000000000000
51800002010119000000200097W0000TARONJA SUC MAQUINA      0000010000000000000000000000000
50800000010120000000200255W0000TARONJA TAULA P.K.       0000010000000000000000000000000
50800008010152000000200219W0000MELO PELL DE GRIPAU      0000010000000000000000000000000
51800143010153000000201135W0000MANGO AVIO P.K.          0000010000000000000000000000000
51800661010010000000600699U0000ANELLA ROMANA SELECT     0000020000000000000000000000000
51803646010061000000600799W0000LLUÇ CABO FIL.A/P HI     0000020000000000000000000000000
51803647010062000000601099W0000LLUÇ CABO ROD.HIG.GR     0000020000000000000000000000000
50804574010084000000601043W0000LLUÇ ROD.HIG.Nº5 APO     0000020000000000000000000000000
50800681010132000000601552W0000BACALLA FILET PUNT S     0000020000000000000000000000000
50800680010137000000601821W0000SIPIA OR HIG.            0000020000000000000000000000000
51219958010067000001100986W0000380040 MANTEGADES AR     0000020000000000000000000000000
51228260010092000001100895W0000380998 ASSORT.NADAL      0000020000000000000000000000000
51959903020001000000300000W0000CHAR G1 BAL (PESO)       0000010000000000000000000000000
51959904020002000000300000U0000CHAR G1 BAL (UNIT)       0000010000000000000000000000000
50042537020005000000300845W0000FORMATGE BARRA COALI     0000010000000000000000000000000
50042238020007000000303159W0000FORMATGE BOFFARD RES     0000010000000000000000000000000
50042313020009000000301305W0000FORMATGE CADI BARRA      0000010000000000000000000000000
50042301020010000000301239W0000FORMATGE CADI BOLA R     0000010000000000000000000000000
50042300020011000000300925W0000FORMATGE CADI BOLA T     0000010000000000000000000000000
50042209020012000000301645W0000FORMATGE CIGARRAL BA     0000010000000000000000000000000
50042527020013000000302015W0000FORM.COALIMENT CABRA     0000010000000000000000000000000
50042272020015000000301335W0000FORMATGE COALIMENT S     0000010000000000000000000000000
50042235020016000000302539W0000FORMATGE FLOR DE ESG     0000010000000000000000000000000
50042268020017000000301875W0000FORMATGE GARCIA BAQU     0000010000000000000000000000000
50042267020018000000301789W0000FORMATGE GARCIA BAQU     0000010000000000000000000000000
50042269020019000000302019W0000FORMATGE GARCIA BAQU     0000010000000000000000000000000
50042548020022000000302469W0000FORMATGE POK OV.CRUA     0000010000000000000000000000000
50042451020023000000302605W0000FORMATGE PRESIDENT R     0000010000000000000000000000000
50042204020025000000301569W0000FORMATGE VENTERO BAR     0000010000000000000000000000000
50042314020026000000301875W0000FORMATGE VENTERO BAR     0000010000000000000000000000000
50310909020031000000302565W0000166 AHUYENTALOBOS OV     0000010000000000000000000000000
50310416020036000000301745W0000007200 HAVARTI 60% D     0000010000000000000000000000000
50305502020039000000302395W000040050 LA CABRA FELIZ     0000010000000000000000000000000
51142408020266000000301729W0000007240 FORM.HAVARTI      0000010000000000000000000000000
50044555020008000000401695W0000CENTRE PERNIL CURAT      0000020000000000000000000000000
50300770020042000000402185W000011010000 LLONGANISSA     0000020000000000000000000000000
51300773020043000000402089W000013220000 P.CURAT DES     0000020000000000000000000000000
51300642020044000000401605U000013650 DAU PERNIL CUR     0000020000000000000000000000000
