2000101-0000001614/07/2000000005001FRUTA UNIDAD             00000000003520000000119      00000420000040
2000101-0000001614/07/2000000005002PLATANOS EXTRA           00000000003520000001299      00004570000455
2000101-0000001614/07/2000000005003ZANAHORIAS BOLSA         00000000003520000001299      00004570000455
2000101-0000001614/07/2000000000000                         00000000003520000000789      00002780000280
2000101-0000001714/07/2000000005004COLIFLOR                 00000000003520000001299      00004570000455
2000101-0000001714/07/2000000005031KIWI                     00000000003520000001299      00004570000455
2000101-0000001714/07/2000000005041TOMATE RAMA              00000000003520000001299      00004570000455
2000101-0000001814/07/2000000005021PIMIENTO  VERDE 1ª (GORDO00000000003540000001299      00004600000460
2000101-0000001914/07/2000000005003ZANAHORIAS BOLSA         00000000003540000001299      00004600000460
2000101-0000002014/07/2000000005004COLIFLOR                 00000000003520000001299      -000457-000455
2000101-0000002014/07/2000000005031KIWI                     00000000003520000001299      -000457-000455
2000101-0000002014/07/2000000005041TOMATE RAMA              00000000003520000001299      -000457-000455
2000101-0000002114/07/2000000005004COLIFLOR                 00000000003520000001299      00004570000455
2000101-0000002114/07/2000000005031KIWI                     00000000003520000001299      00004570000455
2000101-0000002114/07/2000000005041TOMATE RAMA              00000000003520000001299      00004570000455
2000101-0000002114/07/2000000005028UVA NEGRA                00000000003560000001299      00004620000460
2000101-0000002214/07/2000000000000                         10000010000000000000520      00005200000520
2000101-0000002214/07/2000000000000                         10000010000000000000520      00005200000520
2000101-0000002214/07/2000000000000                         10000010000000000000520      00005200000520
2000101-0000002214/07/2000000000000                         10000010000000000000520      00005200000520
2000101-0000002214/07/2000000000000                         10000010000000000000520      00005200000520
2000101-0000002214/07/2000000000000                         10000010000000000000520      00005200000520
2000101-0000002214/07/2000000000000                         10000010000000000000520      00005200000520
2000101-0000002214/07/2000000000000                         10000010000000000000520      00005200000520
2000101-0000002214/07/2000000000000                         10000010000000000000520      00005200000520
2000101-0000002214/07/2000000000000                         10000010000000000000520      00005200000520
2000101-0000002314/07/2000000000000                         10000010000000000000520      -000520-000520
2000101-0000002314/07/2000000000000                         10000010000000000000520      -000520-000520
2000101-0000002314/07/2000000000000                         10000010000000000000520      -000520-000520
2000101-0000002314/07/2000000000000                         10000010000000000000520      -000520-000520
2000101-0000002314/07/2000000000000                         10000010000000000000520      -000520-000520
2000101-0000002314/07/2000000000000                         10000010000000000000520      -000520-000520
2000101-0000002314/07/2000000000000                         10000010000000000000520      -000520-000520
2000101-0000002314/07/2000000000000                         10000010000000000000520      -000520-000520
2000101-0000002314/07/2000000000000                         10000010000000000000520      -000520-000520
2000101-0000002314/07/2000000000000                         10000010000000000000520      -000520-000520
2000101-0000002414/07/2000001000000                         10000010000000000000520      00005200000520
2000101-0000002414/07/2000001000000                         10000010000000000000520      00005200000520
2000101-0000002414/07/2000001000000                         10000010000000000000520      00005200000520
2000101-0000002414/07/2000001000000                         10000010000000000000520      00005200000520
2000101-0000002414/07/2000001000000                         1-000010000000000-00520      0000520-000520
2000101-0000002414/07/2000001000000                         10000010000000000000520      00005200000520
2000101-0000002414/07/2000001000000                         10000010000000000000520      00005200000520
2000101-0000002414/07/2000001000000                         1-000010000000000-00520      0000520-000520
2000101-0000002414/07/2000001000000                         10000010000000000000520      00005200000520
2000101-0000002414/07/2000001000000                         10000010000000000000520      00005200000520
2000101-0000002414/07/2000001000000                         10000010000000000000520      00005200000520
2000101-0000002414/07/2000001000000                         10000010000000000000520      00005200000520
2000101-0000002414/07/2000001000000                         1-000010000000000-00520      0000520-000520
