00H      0101079001001610000019/11/1610:14000017581064856
L00      00101010790000095000000000018500000017580020000JAMON IB. BELLOTA D.O. YD19/11/1610:140064856
00H      0103042001001610000019/11/1610:02000007381064852
L00      00101030420000345000000000002140000007380031887Q. COMTE DOP VAGNE 6 MESE19/11/1610:020064852
00H      0104084001001610000019/11/1611:12000005001064891
L00      00101040840000000000000100000500000005000099016Z. CONO MIXTO GOURMET    19/11/1611:120064891
00H      0104084001001610000019/11/1611:13000005001064893
L00      00101040840000000000000100000500000005000099016Z. CONO MIXTO GOURMET    19/11/1611:130064893
00H      0104084001001610000019/11/1611:14000003001064894
L00      00101040840000000000000100000300000003000099007Z. CONO DE QUESO SEMI CAM19/11/1611:140064894
00H      0103042001001610000019/11/1611:14000005001064895
L00      00101030420000000000000100000500000005000099016Z. CONO MIXTO GOURMET    19/11/1611:140064895
00H      0102020004011610000019/11/1611:15000034861064897
L00      00101020200000450000000000004600000020700026107CE. JAMON ATADO RESERVA L19/11/1611:150064897
L00      00201020200000155000000000003800000005890026107CE. JAMON ATADO RESERVA L19/11/1611:151064897
L00      0020102020-0001550000000-0003800-00005890026107CE. JAMON ATADO RESERVA L19/11/1611:151064897
L00      00301020200000155000000000004800000007440026107CE. JAMON ATADO RESERVA L19/11/1611:150064897
L00      00401020200000270000000000002490000006720010390SALCHICHON MAS MONTSENY  19/11/1611:150064897
00H      0104084002001610000019/11/1611:15000008001064896
L00      00101040840000000000000100000300000003000099009Z. CONO DE QUESO PARMESAN19/11/1611:150064896
L00      00201040840000000000000100000500000005000099001Z. CONO DE ESPALDA IBERIC19/11/1611:150064896
00H      0104084002001610000019/11/1608:42000008001064836
L00      00101040840000000000000100000500000005000099006Z. CONO DE BASTONETS     19/11/1608:420064836
L00      00201040840000000000000100000300000003000099002Z. CONO DE JAMON G. RVA P19/11/1608:420064836
00H      0103020003001610000019/11/1608:59000019021064837
L00      00101030200000000000000100000495000004950000012BUTIFARRA BLANCA PIEZA MA19/11/1608:590064837
L00      00201030200000320000000000001960000006270010395BULL BLANCO MAS VACIO    19/11/1608:590064837
L00      00301030200000000000000200000390000007800000249FUET 1945 PIEZA MAS      19/11/1608:590064837
00H      0104084001001610000019/11/1609:02000003001064838
L00      00101040840000000000000100000300000003000099002Z. CONO DE JAMON G. RVA P19/11/1609:020064838
00H      0103042001001610000019/11/1609:14000005001064839
L00      00101030420000000000000100000500000005000099016Z. CONO MIXTO GOURMET    19/11/1609:140064839
00H      0101079001001610000019/11/1609:17000043101064840
L00      00101010790000255000000000016900000043100020001JAMON IB. BELLOTA. YDETAL19/11/1609:170064840
00H      0103020001001610000019/11/1609:19000001901064841
L00      00101030200000000000000100000190000001900040430JUST FOR CHEESE MINI UVA 19/11/1609:190064841
00H      0104084001001610000019/11/1609:39000003001064844
L00      00101040840000000000000100000300000003000090400VASO CHIPS & HAM.-       19/11/1609:390064844
00H      0104084001001610000019/11/1610:01000005001064851
L00      00101040840000000000000100000500000005000099016Z. CONO MIXTO GOURMET    19/11/1610:010064851
00H      0104042002001610000019/11/1611:00000008001064882
L00      00101040420000000000000100000500000005000099003Z. CONO DE SALCHICHON MON19/11/1611:000064882
L00      00201040420000000000000100000300000003000099002Z. CONO DE JAMON G. RVA P19/11/1611:000064882
00H      0103042001001610000019/11/1609:44000005001064845
L00      00101030420000000000000100000500000005000099016Z. CONO MIXTO GOURMET    19/11/1609:440064845
00H      0104084001001610000019/11/1609:45000010001064846
L00      00101040840000000000000200000500000010000099001Z. CONO DE ESPALDA IBERIC19/11/1609:450064846
00H      0101042001001610000019/11/1609:49000006481064847
L00      00101010420000135000000000004800000006480026107CE. JAMON ATADO RESERVA L19/11/1609:490064847
00H      0103042002001610000019/11/1609:57000011101064849
L00      00101030420000160000000000004800000007680026107CE. JAMON ATADO RESERVA L19/11/1609:570064849
L00      00201030420000160000000000002135000003420020061JAMON COCIDO ALUMINIO LA 19/11/1609:570064849
00H      0104084001001610000019/11/1610:20000003001064860
L00      00101040840000000000000100000300000003000099002Z. CONO DE JAMON G. RVA P19/11/1610:200064860
00H      0104084002001610000019/11/1609:34000010001064843
L00      00101040840000000000000100000500000005000099016Z. CONO MIXTO GOURMET    19/11/1609:340064843
L00      00201040840000000000000100000500000005000099005Z. CONO DE LLAMINETS CHOR19/11/1609:340064843
00H      0104084001001610000019/11/1609:59000005001064850
L00      00101040840000000000000100000500000005000099016Z. CONO MIXTO GOURMET    19/11/1609:590064850
00H      0104084001001610000019/11/1609:28000003001064842
L00      00101040840000000000000300000100000003000070842EMPANADA MINI CAPRESSE   19/11/1609:280064842
00H      0104084002001610000019/11/1610:07000010001064853
L00      00101040840000000000000100000500000005000099003Z. CONO DE SALCHICHON MON19/11/1610:070064853
L00      00201040840000000000000100000500000005000099001Z. CONO DE ESPALDA IBERIC19/11/1610:070064853
00H      0101079001001610000019/11/1610:08000027751064854
L00      00101010790000150000000000018500000027750020000JAMON IB. BELLOTA D.O. YD19/11/1610:080064854
00H      0104084001001610000019/11/1610:10000006001064855
L00      00101040840000000000000600000100000006000070842EMPANADA MINI CAPRESSE   19/11/1610:100064855
00H      0104020002001610000019/11/1610:14000020001064857
L00      00101040200000000000000300000500000015000099016Z. CONO MIXTO GOURMET    19/11/1610:140064857
