29/09/2025 10:34:10	Inicio aplicación Transfer K-Scale y TouchScale.

29/09/2025 10:34:10	Inicio transferencia balanza: 1
29/09/2025 10:34:10	OK Ping con la balanza	1
29/09/2025 10:34:10	OK - Acceso a balanza
29/09/2025 10:34:10	Copiando:	Images
29/09/2025 10:34:10		Copiado:	01001.png
29/09/2025 10:34:10		Copiado:	01002.png
29/09/2025 10:34:10		Copiado:	01003.png
29/09/2025 10:34:10		Copiado:	01004.png
29/09/2025 10:34:10		Copiado:	01005.png
29/09/2025 10:34:10		Copiado:	01006.png
29/09/2025 10:34:10		Copiado:	01007.png
29/09/2025 10:34:10		Copiado:	01008.png
29/09/2025 10:34:10		Copiado:	01013.png
29/09/2025 10:34:10		Copiado:	01014.png
29/09/2025 10:34:10		Copiado:	01015.png
29/09/2025 10:34:10		Copiado:	01016.png
29/09/2025 10:34:10		Copiado:	01017.png
29/09/2025 10:34:10		Copiado:	01018.png
29/09/2025 10:34:10		Copiado:	01021.png
29/09/2025 10:34:10		Copiado:	01022.png
29/09/2025 10:34:10		Copiado:	02009.png
29/09/2025 10:34:10		Copiado:	02020.png
29/09/2025 10:34:10		Copiado:	03010.png
29/09/2025 10:34:10		Copiado:	03011.png
29/09/2025 10:34:10		Copiado:	03012.png
29/09/2025 10:34:10		Copiado:	04002.png
29/09/2025 10:34:10		Copiado:	04003.png
29/09/2025 10:34:10		Copiado:	04019.png
29/09/2025 10:34:10		Copiado:	042204.png
29/09/2025 10:34:10		Copiado:	042235.png
29/09/2025 10:34:10		Copiado:	042264.png
29/09/2025 10:34:10		Copiado:	042267.png
29/09/2025 10:34:10		Copiado:	042268.png
29/09/2025 10:34:10		Copiado:	042271.png
29/09/2025 10:34:10		Copiado:	042272.png
29/09/2025 10:34:10		Copiado:	042273.png
29/09/2025 10:34:10		Copiado:	042527.png
29/09/2025 10:34:10		Copiado:	042528.png
29/09/2025 10:34:11		Copiado:	042530.png
29/09/2025 10:34:11		Copiado:	042531.png
29/09/2025 10:34:11		Copiado:	042537.png
29/09/2025 10:34:11		Copiado:	042557.png
29/09/2025 10:34:11		Copiado:	042655.png
29/09/2025 10:34:11		Copiado:	042656.png
29/09/2025 10:34:11		Copiado:	043401.png
29/09/2025 10:34:11		Copiado:	043404.png
29/09/2025 10:34:11		Copiado:	043442.png
29/09/2025 10:34:11		Copiado:	043553.png
29/09/2025 10:34:11		Copiado:	043592.png
29/09/2025 10:34:11		Copiado:	043727.png
29/09/2025 10:34:11		Copiado:	043909.png
29/09/2025 10:34:11		Copiado:	043950.png
29/09/2025 10:34:11		Copiado:	043956.png
29/09/2025 10:34:11		Copiado:	044012.png
29/09/2025 10:34:11		Copiado:	044013.png
29/09/2025 10:34:11		Copiado:	044030.png
29/09/2025 10:34:11		Copiado:	044037.png
29/09/2025 10:34:11		Copiado:	044044.png
29/09/2025 10:34:11		Copiado:	044047.png
29/09/2025 10:34:11		Copiado:	044063.png
29/09/2025 10:34:11		Copiado:	044116.png
29/09/2025 10:34:11		Copiado:	044164.png
29/09/2025 10:34:11		Copiado:	044201.png
29/09/2025 10:34:11		Copiado:	044219.png
29/09/2025 10:34:11		Copiado:	044555.png
29/09/2025 10:34:11		Copiado:	044556.png
29/09/2025 10:34:11		Copiado:	044662.png
29/09/2025 10:34:11		Copiado:	044675.png
29/09/2025 10:34:11		Copiado:	044706.png
29/09/2025 10:34:11		Copiado:	062684.png
29/09/2025 10:34:11		Copiado:	142245.png
29/09/2025 10:34:11		Copiado:	142270.png
29/09/2025 10:34:11		Copiado:	142306.png
29/09/2025 10:34:11		Copiado:	142390.png
29/09/2025 10:34:11		Copiado:	142391.png
29/09/2025 10:34:11		Copiado:	142392.png
29/09/2025 10:34:11		Copiado:	142393.png
29/09/2025 10:34:11		Copiado:	142394.png
29/09/2025 10:34:11		Copiado:	142395.png
29/09/2025 10:34:11		Copiado:	142396.png
29/09/2025 10:34:11		Copiado:	142408.png
29/09/2025 10:34:11		Copiado:	142465.png
29/09/2025 10:34:11		Copiado:	142958.png
29/09/2025 10:34:11		Copiado:	143090.png
29/09/2025 10:34:11		Copiado:	143091.png
29/09/2025 10:34:11		Copiado:	143093.png
29/09/2025 10:34:11		Copiado:	143282.png
29/09/2025 10:34:11		Copiado:	143491.png
29/09/2025 10:34:11		Copiado:	143875.png
29/09/2025 10:34:11		Copiado:	143904.png
29/09/2025 10:34:11		Copiado:	143928.png
29/09/2025 10:34:11		Copiado:	143970.png
29/09/2025 10:34:11		Copiado:	144000.png
29/09/2025 10:34:11		Copiado:	144056.png
29/09/2025 10:34:11		Copiado:	144099.png
29/09/2025 10:34:11		Copiado:	144276.png
29/09/2025 10:34:11		Copiado:	226317.png
29/09/2025 10:34:12		Copiado:	226396.png
29/09/2025 10:34:12		Copiado:	226469.png
29/09/2025 10:34:12		Copiado:	226536.png
29/09/2025 10:34:12		Copiado:	226539.png
29/09/2025 10:34:12		Copiado:	227445.png
29/09/2025 10:34:12		Copiado:	228381.png
29/09/2025 10:34:12		Copiado:	228501.png
29/09/2025 10:34:12		Copiado:	228520.png
29/09/2025 10:34:12		Copiado:	228523.png
29/09/2025 10:34:12		Copiado:	228590.png
29/09/2025 10:34:12		Copiado:	228658.png
29/09/2025 10:34:12		Copiado:	228659.png
29/09/2025 10:34:12		Copiado:	300786.png
29/09/2025 10:34:12		Copiado:	309342.png
29/09/2025 10:34:12		Copiado:	309960.png
29/09/2025 10:34:12		Copiado:	310378.png
29/09/2025 10:34:12		Copiado:	310399.png
29/09/2025 10:34:12		Copiado:	310401.png
29/09/2025 10:34:12		Copiado:	310410.png
29/09/2025 10:34:12		Copiado:	310432.png
29/09/2025 10:34:12		Copiado:	310879.png
29/09/2025 10:34:12		Copiado:	311268.png
29/09/2025 10:34:12		Copiado:	311274.png
29/09/2025 10:34:12		Copiado:	350800.png
29/09/2025 10:34:12		Copiado:	350805.png
29/09/2025 10:34:12		Copiado:	350808.png
29/09/2025 10:34:12		Copiado:	350809.png
29/09/2025 10:34:12		Copiado:	350810.png
29/09/2025 10:34:12		Copiado:	350811.png
29/09/2025 10:34:12		Copiado:	350813.png
29/09/2025 10:34:12		Copiado:	350814.png
29/09/2025 10:34:12		Copiado:	350820.png
29/09/2025 10:34:12		Copiado:	350821.png
29/09/2025 10:34:12		Copiado:	350822.png
29/09/2025 10:34:12		Copiado:	350824.png
29/09/2025 10:34:12		Copiado:	350825.png
29/09/2025 10:34:12		Copiado:	350827.png
29/09/2025 10:34:12		Copiado:	350828.png
29/09/2025 10:34:12		Copiado:	350829.png
29/09/2025 10:34:12		Copiado:	350833.png
29/09/2025 10:34:12		Copiado:	350835.png
29/09/2025 10:34:12		Copiado:	350836.png
29/09/2025 10:34:12		Copiado:	350837.png
29/09/2025 10:34:12		Copiado:	350838.png
29/09/2025 10:34:12		Copiado:	350839.png
29/09/2025 10:34:12		Copiado:	350840.png
29/09/2025 10:34:12		Copiado:	350845.png
29/09/2025 10:34:12		Copiado:	350846.png
29/09/2025 10:34:12		Copiado:	350848.png
29/09/2025 10:34:12		Copiado:	350850.png
