03/12/2025 13:53:53 - -----------------------------------------------------------
03/12/2025 13:53:53 - Conectando Oracle
03/12/2025 13:53:53 - Comprobando C:\greenvb
03/12/2025 13:53:53 - Conectando a XE
03/12/2025 13:53:54 - Encontrados 218 ficheros.
03/12/2025 13:53:54 - Tratando 106105.03C
03/12/2025 13:53:55 - Tratando 106110.03C
03/12/2025 13:53:56 - Tratando 106111.03C
03/12/2025 13:53:57 - Tratando 106122.03C
03/12/2025 13:53:58 - Tratando 106128.03C
03/12/2025 13:53:59 - Tratando 106142.03C
03/12/2025 13:54:00 - Tratando 106148.03C
03/12/2025 13:54:01 - Tratando 106151.03C
03/12/2025 13:54:02 - Tratando 106157.03C
03/12/2025 13:54:03 - Tratando 106167.03C
03/12/2025 13:54:04 - Tratando 106186.03C
03/12/2025 13:54:05 - Tratando 205437.03C
03/12/2025 13:54:06 - Tratando 205438.03C
03/12/2025 13:54:07 - Tratando 205439.03C
03/12/2025 13:54:08 - Tratando 205440.03C
03/12/2025 13:54:09 - Tratando 205442.03C
03/12/2025 13:54:10 - Tratando 205443.03C
03/12/2025 13:54:11 - Tratando 205444.03C
03/12/2025 13:54:12 - Tratando 205445.03C
03/12/2025 13:54:13 - Tratando 205446.03C
03/12/2025 13:54:14 - Tratando 205447.03C
03/12/2025 13:54:15 - Tratando 205448.03C
03/12/2025 13:54:16 - Tratando 205449.03C
03/12/2025 13:54:17 - Tratando 205450.03C
03/12/2025 13:54:18 - Tratando 205452.03C
03/12/2025 13:54:20 - Tratando 205453.03C
03/12/2025 13:54:21 - Tratando 205454.03C
03/12/2025 13:54:22 - Tratando 205455.03C
03/12/2025 13:54:23 - Tratando 205456.03C
03/12/2025 13:54:24 - Tratando 205457.03C
03/12/2025 13:54:25 - Tratando 205458.03C
03/12/2025 13:54:26 - Tratando 205459.03C
03/12/2025 13:54:27 - Tratando 205460.03C
03/12/2025 13:54:28 - Tratando 205461.03C
03/12/2025 13:54:29 - Tratando 205462.03C
03/12/2025 13:54:30 - Tratando 205463.03C
03/12/2025 13:54:31 - Tratando 205464.03C
03/12/2025 13:54:32 - Tratando 205465.03C
03/12/2025 13:54:33 - Tratando 205466.03C
03/12/2025 13:54:34 - Tratando 205467.03C
03/12/2025 13:54:35 - Tratando 205468.03C
03/12/2025 13:54:36 - Tratando 205469.03C
03/12/2025 13:54:37 - Tratando 205470.03C
03/12/2025 13:54:38 - Tratando 205472.03C
03/12/2025 13:54:39 - Tratando 205473.03C
03/12/2025 13:54:40 - Tratando 205475.03C
03/12/2025 13:54:41 - Tratando 205477.03C
03/12/2025 13:54:42 - Tratando 205478.03C
03/12/2025 13:54:43 - Tratando 205479.03C
03/12/2025 13:54:44 - Tratando 205480.03C
03/12/2025 13:54:45 - Tratando 205482.03C
03/12/2025 13:54:46 - Tratando 205483.03C
03/12/2025 13:54:47 - Tratando 205484.03C
03/12/2025 13:54:49 - Tratando 205485.03C
03/12/2025 13:54:50 - Tratando 205488.03C
03/12/2025 13:54:51 - Tratando 205489.03C
03/12/2025 13:54:52 - Tratando 205490.03C
03/12/2025 13:54:53 - Tratando 205491.03C
03/12/2025 13:54:54 - Tratando 205492.03C
03/12/2025 13:54:55 - Tratando 205493.03C
03/12/2025 13:54:56 - Tratando 205494.03C
03/12/2025 13:54:57 - Tratando 205495.03C
03/12/2025 13:54:58 - Tratando 205496.03C
03/12/2025 13:54:59 - Tratando 205497.03C
03/12/2025 13:55:00 - Tratando 205498.03C
03/12/2025 13:55:01 - Tratando 205500.03C
03/12/2025 13:55:02 - Tratando 205501.03C
03/12/2025 13:55:03 - Tratando 205502.03C
03/12/2025 13:55:04 - Tratando 205503.03C
03/12/2025 13:55:05 - Tratando 205504.03C
03/12/2025 13:55:06 - Tratando 205505.03C
03/12/2025 13:55:07 - Tratando 205506.03C
03/12/2025 13:55:08 - Tratando 205507.03C
03/12/2025 13:55:09 - Tratando 205508.03C
03/12/2025 13:55:10 - Tratando 205509.03C
03/12/2025 13:55:11 - Tratando 205510.03C
03/12/2025 13:55:12 - Tratando 205511.03C
03/12/2025 13:55:13 - Tratando 205512.03C
03/12/2025 13:55:14 - Tratando 205513.03C
03/12/2025 13:55:15 - Tratando 205514.03C
03/12/2025 13:55:16 - Tratando 205515.03C
03/12/2025 13:55:17 - Tratando 205516.03C
03/12/2025 13:55:19 - Tratando 205519.03C
03/12/2025 13:55:20 - Tratando 205520.03C
03/12/2025 13:55:21 - Tratando 205523.03C
03/12/2025 13:55:22 - Tratando 205524.03C
03/12/2025 13:55:23 - Tratando 205525.03C
03/12/2025 13:55:24 - Tratando 205528.03C
03/12/2025 13:55:25 - Tratando 205529.03C
03/12/2025 13:55:26 - Tratando 205531.03C
03/12/2025 13:55:27 - Tratando 205532.03C
03/12/2025 13:55:28 - Tratando 205533.03C
03/12/2025 13:55:29 - Tratando 205534.03C
03/12/2025 13:55:30 - Tratando 205537.03C
03/12/2025 13:55:31 - Tratando 205538.03C
03/12/2025 13:55:32 - Tratando 205540.03C
03/12/2025 13:55:33 - Tratando 205541.03C
03/12/2025 13:55:34 - Tratando 205542.03C
03/12/2025 13:55:35 - Tratando 205543.03C
03/12/2025 13:55:36 - Tratando 205544.03C
03/12/2025 13:55:37 - Tratando 205545.03C
03/12/2025 13:55:38 - Tratando 205546.03C
03/12/2025 13:55:39 - Tratando 205547.03C
03/12/2025 13:55:40 - Tratando 205548.03C
03/12/2025 13:55:41 - Tratando 205549.03C
03/12/2025 13:55:42 - Tratando 205550.03C
03/12/2025 13:55:43 - Tratando 205551.03C
03/12/2025 13:55:44 - Tratando 205552.03C
03/12/2025 13:55:45 - Tratando 205553.03C
03/12/2025 13:55:46 - Tratando 206106.03C
