21000121000100PRODUC CAFETERIA         0000200U
21000221000200MAQUINA DE JUEGO         0000690U
21000321000300DESAYUNO                 0000160U
21000421000400INFUSIONES               0000100U
21000521000500CAFE                     0000100U
21000621000600MERIENDA                 0000160U
21000721000700COCA COLA                0000150U
21000821000800BOLLERIA                 0000100U
21000921000900PINCHO TORTILLA          0000160U
21001021001000COLACAO                  0000100U
21001121001100CROISSANT RELLENO        0000175U
21001221001200CERVEZA LIMON JARR       0000180U
21001321001300ZUMO NATURAL             0000160U
21001421001400ZUMO VARIOS              0000150U
21001521001500REFRESCOS                0000100U
21001621001600HORCHATA                 0000165U
21001721001700GRANIZADO                0000165U
21001821001800COPA MARTINI             0000150U
21001921001900COPA DYC                 0000130U
21002021002000COPA MOSTO               0000150U
21002121002100CERVEZA CAÑA             0000100U
21002221002200CERVEZA BOTELLIN         0000100U
21002321002300CERVEZA DOBLE            0000150U
21002421002400CERVEZA JARRA DOBL       0000180U
21002521002500CERVEZA TERCIO           0000150U
21002621002600BATIDOS                  0000140U
21002721002700CERVEZA SIN              0000110U
21002821002800COPA VINO                0000075U
21002921002900COPA VINO BERBERAN       0000090U
21003021003000COPA VINO RIOJA          0000100U
21003121003100COPA ANIS CHINCHON       0000120U
21003221003200COPA MAGNO O SIMIL       0000180U
21003321003300COPA LICOR VARIOS        0000140U
21003421003400COPA LARIOS              0000130U
21003521003500COPA BACARDI             0000180U
21003621003600COPA WHISKY JB           0000300U
21003721003700COPA BEEFEATERS          0000180U
21003821003800COPA COINTREAU           0000225U
21003921003900COPA VARIOS              0000000U
21004021004000COPA GORDONS             0000130U
21004121004100CERVEZA COPA DOBLE       0000160U
21004221004200CUBATA BEEFEATERS        0000325U
21004321004300COPA DYC TUBO            0000225U
21004421004400COPA CACIQUE             0000200U
21004521004500COPA NEGRITA             0000200U
21004621004600BOCADILLO JAMON          0000275U
21004721004700BOCADILLO LOMO           0000280U
21004821004800BOCADILLO BACON          0000250U
21004921004900BOCADILLO CHORIZO        0000240U
21005021005000BOCADILLO QUESO          0000240U
21005121005100BOCADILLO MORCILLA       0000225U
21005221005200BOCADILLO BOQUERON       0000240U
21005321005300BOCADILLO SALCHIAS       0000270U
21005421005400BOCADILLO TORTILLA       0000250U
21005521005500BOCADILLO PEPI TER       0000361U
21005621005600BOCADILLO ANCHOA         0000275U
21005721005700BOCADILLO SARDINA        0000195U
21005821005800BOCADILLO BONITO         0000240U
21005921005900BOCADILLO SALCHION       0000230U
21006021006000BOCADILLO CALAMAR        0000230U
21006121006100RACION ENSALA RUSA       0000400U
21006221006200RACION BOQUER VINA       0000600U
21006321006300RACION ALMEJAS           0000065U
21006421006400RACION ALBONDIGAS        0000450U
21006521006500RACION BACALA TOMA       0000825U
21006621006600RACION BONITO TOMA       0000630U
21006721006700RACION PULPO GALLE       0000850U
21006821006800RACION PULPO VINAG       0000850U
21006921006900RACION JAMON SERRA       0000650U
21007021007000RACION QUESO             0000575U
21007121007100RACION MORCILLA          0000575U
21007221007200RACION CHORI FRITO       0000361U
21007321007300RACION CALAMARES         0000550U
21007421007400RACION CHIPIRONES        0000630U
21007521007500RACION CALLOS            0000525U
21007621007600RACION PIMIEN RELL       0000120U
21007721007700RACION MEJILLONES        0000350U
21007821007800MONTADO JAMON            0000180U
21007921007900MONTADO LOMO             0000180U
21008021008000MONTADO BACON            0000160U
21008121008100MONTADO TORTILLA         0000160U
21008221008200MONTADO SALCHION         0000150U
21008321008300MONTADO CHORIZO          0000165U
21008421008400MONTADO BOQUERONES       0000165U
21008521008500MONTADO QUESO            0000165U
21008621008600MONTADO CALAMARES        0000160U
21008721008700CUBATA HABANA CLUB       0000000U
21008821008800COPA FINO                0000110U
21008921008900CERVEZA HEINEKEN         0000120U
21009021009000AGUA MINERAL             0000090U
21009121009100CERVEZA LIMON CAÑA       0000120U
21009221009200SANDWHICH MIXTO          0000175U
21009321009300TRINARANJUS              0000000U
21009421009400FANTA                    0000140U
21009521009500SCHWEPPS                 0000130U
21009621009600BITER KAS                0000150U
21009721009700TONICA                   0000140U
21009821009800COPA VINO RIVERA         0000150U
21009921009900CUBATA JB                0000325U
21010021010000COPA ORUJO               0000130U
21010121010100COPA COÑAC               0000120U
21010221010200CUBATA BACARDI           0000325U
21010321010300CUBATA LARIOS            0000280U
21010421010400CUBATA DYC               0000280U
21010521010500CASERA                   0000100U
21010621010600CERVEZA BOTE             0000090U
21010721010700COPA ANIS CASTELL        0000120U
21010821010800MONTADO BONITO           0000165U
21010921010900COPA BAILEYS             0000225U
21011021011000COPA BRANDI SOBER        0000120U
21011121011100COPA CARLOS III          0000180U
21011221011200COPA PACHARAN            0000140U
21011321011300COPA PONCHE CABA         0000120U
21011421011400COPA TIA MARIA           0000225U
21011521011500COPA VINO D OPAS         0000075U
21011621011600MONTADO ANCHOAS          0000165U
21011721011700PAN                      0000030U
21011821011800CERVEZA BARRIL           0000000U
21011921011900MONTADO PANCETA          0000000W
21013321013300MONTADO SARDINAS         0000000W
21013421013400RACION JAM IBERICO       0001150W
21013521013500BOCADILLO JAM IBER       0000450W
21013621013600MONTADO JAM IBERIC       0000250W
21013721013700SUPLEMENTOS VARIOS       0000020W
21013821013800BOTELLA VINO             0000550W
21013921013900PULGAS                   0000100W
21014021014000CHUPITOS                 0000100W
21014121014100BOTELLA VINO RIBER       0000950W
21014221014200REIG 7                   0000065W
21014321014300PINCHO MEDIO TORTI       0000100W
21014421014400CERVEZA TUBO             0000130W
21014521014500BOTELLA VINO RIOJA       0001150W
210146210146001 PORRA Y CAFE           0000130W
210147210147002 PORRAS Y CAFE          0000150W
210148210148002 CHURROS Y CAFE         0000120W
210149210149003 CHURROS Y CAFE         0000130W
210150210150004 CHURROS Y CAFE         0000140W
210151210151005 CHURROS Y CAFE         0000150W
21015221015200BOTELLA VINO ROSA        0000540W
21020021020000MENU DIA                 0000800U
21020121020100MENU ESPECIAL            0001100U
21020221020200MENU MEDIO               0000500U
21020321020300ENTRADAS                 0000202U
21020421020400CARNES                   0000850U
21020521020500PESCADO                  0000000U
21020621020600POSTRES                  0000000U
21020721020700FARIAS                   0000075U
21020821020800AZUCAR                   0000000W
21020921020900ACEITUNAS                0000000W
21021021021000BRIK ZUMOS               0000000W
21021121021100CHURRERIA                0000000W
21021221021200                         0000000W
21021321021300CORTEZAS                 0000000W
21021621021600HELADOS                  0000000W
21021721021700LECHE                    0000000W
21021921021900MARGARINA                0000000W
21022021022000MERMELADA                0000000W
21022121022100PANCHITOS                0000000W
21022221022200PATATAS                  0000000W
21022521022500SIFON                    0000000W
21040221040200COMIDA CHARCUTERIA       0000000W
21040321040300COMIDA CONGELADO         0000000W
21040421040400COMIDA PESCADERIA        0000000W
21040521040500COMIDA CARNICERIA        0000000W
21040621040600COMIDA FRUTERIA          0000000W
21040821040800COMIDA PANADERIA         0000000W
21040921040900COMIDA OFICINA           0000000W
21041021041000COMIDA MANTENIMIEN       0000000W
21079821079800CAFETERIA                0000000W
21079921079900PROMOCION 4X3            0000000U
21999821999800PESADOS VARIOS           0000000W
21999921999900NO PESADOS VARIOS        0000000U
22000100752800OPRODUC CHARCUTERI       0000000U
22000222000200ABONO                    0000187W
22000300487981QUESO FRESCO BURGO       0000495W
22000422000432PALETA SERR CENTRO       0001070W
22000522000515CHOPPED HAM              0000538W
22000622000617CHICHARRON COCIDO        0000838W
22000722000717CHICHARRON FRITO         0000569W
22000822000814MORTADELA AHUMADA        0000598W
22000922000913FIAMBRE SANDWI           0000359W
22001022001011JAMON COCI LATA          0000000W
22001122001111JAMON AHUMADO S/H        0000961W
22001222001212PALETA COCIDA            0000519W
22001300952626CHORIZO FRESCO           0000508W
22001400500982QUESO BARRA SANDW        0000658W
22001500970160MEMBRILLO CREMA          0000328W
22001622001614MORTADELA VALLE          0000448W
22001722001721CHORIZO VELA RIOJA       0000565W
22001800814246CHORIZO VELA IBERI       0001245W
22001922001922SALCHICHON EXTRA         0000775W
22002022002021CHORIZO PAMPLONA         0000745W
22002122002121LONGANIZA DULCE          0000718W
22002222002221NO PROGR                 0000598W
22002322002334TOCINETA ADOBADA         0000538W
22002422002460NO PROGR                 0000160W
22002500971160SOBRASADA TARRINA        0000115U
22002622002644CHORIZO IB BELLOTA       0001495W
22002722002743LOMO IBERICO             0004385W
22002822002843NO PROGR                 0000000W
22002922002916FIAMBRE PAVO TRUFA       0001395W
22003022003042PALETA BELLOTA LON       0003975W
22003122003122SALCHICHON OLIVERA       0000838W
22003222003260SOBRASADA TRIPA          0000775W
22003322003317CABEZA JABALI            0000640W
22003422003423SALAMI FINA HIERBA       0000835W
22003522003517FIAMBRE DE POLLO         0000520W
22003622003614MORTADELA ITALIANA       0000479W
22003722003714MORTADELA SUPREMA        0000838W
22003822003843LOMO IB BELLOTA          0005095W
22003922003950PATE TUNEL               0000598W
22004022004050NO PROGR                 0000000W
22004122004150PATE CABRACHO            0001785W
22004222004223SALAMI                   0000419W
22004322004350PATE CAMPAÑA             0000899W
22004422004422SALCHICHON 2A            0000568W
22004500970426CHISTORRA                0000150U
22004622004660NO PROGR                 0000000U
22004722004750PATE PATO                0001380W
22004800970625COMPAGNO ASTURIANO       0000235U
22004900945124FUET                     0000089U
22005022005060SOBRASADA IBERICA        0001439W
22005100931138ESPINAZO SALADO          0000210W
22005200959434PANCETA SALADA           0000508W
22005300971938TOCINO IBERICO           0000279W
22005422005450PATE PIMIENTA            0000892W
22005522005550PATE ARDENAIS            0000892W
22005622005650PATE ROQUEFORT           0000892W
22005722005750PATE FINAS HIERBAS       0000889W
22005822005821LONGANIZA PICANTE        0000718W
22005922005945SALCHICHON IB BELL       0001495W
22006000970924FUET ESPETEC             0000165U
22006122006116FIAMBRE PATO NARAN       0001275W
22006200937226MORCILLA PATATERA        0000538W
22006300937625MORCILLA ASTURIANA       0000580W
22006422006417SEVILLANA DE PAVO        0000598W
22006500954026MORCILLA FRESCA          0000357W
22006622006617BUTIFARRA                0000810W
22006700892941JAMON IB BELLO PZA       0004999W
22006822006817PECHUGA PAVO             0000895W
22006922006936NO PROGR                 0000000W
22007000467631JAMON RSO SALA           0000529W
22007122007117FIAMBRE DE PAVO          0000748W
22007222007231JAMON SE CENTRO          0001075W
22007322007388QUESO AZUL HOJAS         0000885W
22007400947560HUEVO HILADO             0002539W
22007522007585QUESO BRIE FRANCES       0000540W
22007622007689QUESO CHAMOIS DOR        0000000W
22007722007786QUESO FINA HIERBA        0001550W
22007822007886QUESO CON NUECES         0001680W
