F001001001AVES                          01001.png
F001002002OVINO                         01002.png
F001003003CERDO                         01003.png
F001004004VACUNO                        01004.png
F001005005CAZA                          01005.png
F001006006CABALLO                       01006.png
F001007007HAMBURGUESAS                  01007.png
F001008008ELABORADOS                    01008.png
F001009009LIBRE SERVICIO                01009.png
F001010010GENERICO CARNE KG             01010.png
F001011011GENERICO CARNE UND            01011.png
F001012012CHARCUTERIA                   01012.png
F001013013QUESOS                        01013.png
F002014001PANADERIA                     02014.png
F002015002BOLLERIA                      02015.png
F003016001Fruteria                      03016.png
50590011010001000000100499W0000ALAS POLLO KG            0000020000000000000000000000000
50590259010002000000109900W0000CARCASA POLLO KG         0000020000000000000000000000000
50590012010003000000100549W0000CONTRAMUSLO POLLO KG     0000020000000000000000000000000
50590013010004000000100399W0000CUARTO TRASERO POLLO     0000020000000000000000000000000
50590005010005000000101099W0000FILETE PECHUGA PAVO      0000020000000000000000000000000
50590000010006000000100399W0000GALLINA ENTERA KG        0000020000000000000000000000000
50590019010007000000100349W0000HIGADO POLLO KG          0000020000000000000000000000000
50590015010008000000100499W0000JAMONCITO POLLO KG       0000020000000000000000000000000
50590020010009000000100399W0000MOLLEJA POLLO KG         0000020000000000000000000000000
50590016010010000000100699W0000MUSLO DESHUESADO POL     0000020000000000000000000000000
50590332010011000000100349W0000PATAS POLLO KG           0000020000000000000000000000000
50590386010012000000100799W0000PAVITA KG                0000020000000000000000000000000
50590003010013000000100699W0000PAVO ENTERO KG           0000020000000000000000000000000
50590006010014000000101099W0000PECHUGA PAVO KG          0000020000000000000000000000000
50590017010015000000100399W0000PECHUGA POLLO C/HUES     0000020000000000000000000000000
50590018010016000000100699W0000PECHUGA POLLO S/HUES     0000020000000000000000000000000
50590008010017000000100449W0000POLLO CORRAL KG          0000020000000000000000000000000
50590007010018000000100379W0000POLLO ENTERO KG          0000020000000000000000000000000
50590399010261000000100899W0000SOLOMILLO POLLO KG       0000020000000000000000000000000
50590400010262000000100699W0000PATORRA PAVO KG          0000020000000000000000000000000
50590452010355000000100799U0000CODORNICES BANDEJA 4     0000020000000000000000000000000
50590323010019000000200399U0000ASADURA CORDERO UD       0000020000000000000000000000000
50590317010020000000200199U0000CABEZA CORDERO UD        0000020000000000000000000000000
50590068010021000000209900W0000CABRITO KG               0000020000000000000000000000000
50590072010022000000202699W0000CHULETAS CORDERO KG      0000020000000000000000000000000
50590070010023000000201399W0000CORDERO A CUARTOS KG     0000020000000000000000000000000
50590071010024000000201599W0000CORDERO ENT/MED C/CA     0000020000000000000000000000000
50590069010025000000209900W0000CORDERO LECHAL ENT/M     0000020000000000000000000000000
50590385010026000000201399W0000CORDERO RECENTAL ENT     0000020000000000000000000000000
50590261010027000000200999W0000CUELLO CORDERO KG        0000020000000000000000000000000
50590262010028000000200899W0000FALDA-PECHO CORDERO      0000020000000000000000000000000
50590255010029000000209900W0000HIGADO DE CORDERO KG     0000020000000000000000000000000
50590318010030000000200799W0000MANITA CORDERO KG        0000020000000000000000000000000
50590075010031000000201899W0000PALETILLA ENTERA COR     0000020000000000000000000000000
50590393010032000000200799W0000PANZA CORDERO KG         0000020000000000000000000000000
50590074010033000000201699W0000PIERNA ENTERA CORDER     0000020000000000000000000000000
50590062010034000000302099W0000ABANICO CERDO IBERIC     0000020000000000000000000000000
50590253010037000000300499W0000CARETA DE CERDO KG       0000020000000000000000000000000
50590040010038000000300649W0000CARNE GUISAR CERDO K     0000020000000000000000000000000
50590316010040000000309900W0000CARRILLADA PEQUE—A C     0000020000000000000000000000000
50590053010041000000301499W0000CARRILLADA S/HUESO C     0000020000000000000000000000000
50590029010043000000300599W0000CHULETA CABEZA LOMO      0000020000000000000000000000000
50590030010044000000300699W0000CHULETA CABEZA LOMO      0000020000000000000000000000000
50590031010045000000300749W0000CHULETA LOMO C/HUESO     0000020000000000000000000000000
50590025010046000000300699W0000CHULETERO CERDO CON      0000020000000000000000000000000
50590054010050000000300499W0000CODILLO CERDO (PIEZA     0000020000000000000000000000000
50590050010051000000300899W0000COSTILLA CARNOSA CER     0000020000000000000000000000000
50590173010052000000309900W0000COSTILLA CERDO BARBA     0000020000000000000000000000000
50590051010054000000300749W0000COSTILLAR CERDO KG       0000020000000000000000000000000
50590394010055000000300299W0000CRIADILLAS CERDO KG      0000020000000000000000000000000
50590383010059000000300499W0000ESPINAZO CERDO KG        0000020000000000000000000000000
50590384010060000000300499W0000ESPINAZO SALADO CERD     0000020000000000000000000000000
50590288010061000000300699W0000FIAMBRE LOMO ADOBADO     0000020000000000000000000000000
50590026010066000000300699W0000FILETE JAMON CERDO K     0000020000000000000000000000000
50590034010068000000300799W0000FILETE LOMO CINTA CE     0000020000000000000000000000000
50590035010069000000300699W0000FILETE LOMO EXTRATIE     0000020000000000000000000000000
50590045010070000000300749W0000FILETE PANCETA CERDO     0000020000000000000000000000000
50590042010072000000301199W0000FILETE SOLOMILLO CER     0000020000000000000000000000000
50590055010074000000300599W0000HIGADO CERDO KG          0000020000000000000000000000000
50590390010076000000300549W0000HUESOS CODILLO KG        0000020000000000000000000000000
50590027010078000000300490W0000JAMON CERDO (PIEZA)      0000020000000000000000000000000
50590063010079000000309900W0000LAGARTO CERDO IBERIC     0000020000000000000000000000000
50590391010080000000300799W0000LOMO ADOBADO AJILLO      0000020000000000000000000000000
50590254010081000000300699W0000LOMO ADOBADO EXTRATI     0000020000000000000000000000000
50590283010082000000300799W0000LOMO ADOBADO PIMENTO     0000020000000000000000000000000
50590036010083000000300699W0000LOMO CERDO (PIEZA) K     0000020000000000000000000000000
50590064010084000000302199W0000LOMO CERDO IBERICO K     0000020000000000000000000000000
50590260010085000000300799W0000LOMO SAJONIA KG          0000020000000000000000000000000
50590287010086000000300799W0000MAGRETA ADOBADA AJIL     0000020000000000000000000000000
50590286010087000000300799W0000MAGRETA ADOBADA ROJA     0000020000000000000000000000000
50590285010088000000300799W0000MAGRO ADOBADO PIMENT     0000020000000000000000000000000
50590043010089000000300599W0000MAGRO CERDO (PIEZA)      0000020000000000000000000000000
50590057010090000000300499W0000MANITA CERDO KG          0000020000000000000000000000000
50590058010091000000301199W0000MOLLEJA CERDO KG         0000020000000000000000000000000
50590308010092000000300499W0000OREJA CERDO KG           0000020000000000000000000000000
50590028010094000000300599W0000PALETILLA CERDO (PIE     0000020000000000000000000000000
50590047010095000000300749W0000PANCETA CERDO (PIEZA     0000020000000000000000000000000
50590048010096000000300599W0000PANCETA PAPADA CERDO     0000020000000000000000000000000
50590065010098000000302899W0000PRESA CERDO IBERICO      0000020000000000000000000000000
50590059010099000000300499W0000RABO CERDO KG            0000020000000000000000000000000
50590060010101000000300349W0000RI—ONES CERDO KG         0000020000000000000000000000000
50590066010102000000302749W0000SECRETO CERDO IBERIC     0000020000000000000000000000000
50590313010103000000300240U0000SESOS 2UD                0000020000000000000000000000000
50590067010104000000302199W0000SOLOMILLO CERDO IBER     0000020000000000000000000000000
50590052010107000000300899W0000TIRA COSTILLA CERDO      0000020000000000000000000000000
50590309010108000000300499W0000TOCINO CERDO C.CORTE     0000020000000000000000000000000
50590392010109000000300499W0000TOCINO CERDO IBERICO     0000020000000000000000000000000
50590306010110000000300499W0000TOCINO CERDO KG          0000020000000000000000000000000
50590406010268000000301499W0000CHULETA CERDO IBERIC     0000020000000000000000000000000
50590407010269000000303499W0000PLUMA CERDO IBERICO      0000020000000000000000000000000
50590408010270000000302099W0000CARRILLADA CERDO IBE     0000020000000000000000000000000
50590410010272000000300599W0000PANCETA CERDO IBERIC     0000020000000000000000000000000
50590411010273000000300499W0000TOCINO CERDO IBERICO     0000020000000000000000000000000
50395389010327000000300999W0000SECRETO CERDO ROMERO     0000020000000000000000000000000
50395338010328000000300999W000010244 SECRETO CERDO      0000020000000000000000000000000
50395398010329000000301199W000010349 SOLOMILLO ADOB     0000020000000000000000000000000
50395399010330000000301199W000010350 SOLOMILLO ROME     0000020000000000000000000000000
50395400010331000000301199W0000SOLOMILLO BOLETU EXT     0000020000000000000000000000000
50395460010332000000301199W0000SOLOMILLO P.EXTRAT.E     0000020000000000000000000000000
50395487010333000000300999W000010799 SECRETO CERDO      0000020000000000000000000000000
50590453010356000000300499W0000CODILLO PALETA CERDO     0000020000000000000000000000000
50590454010357000000300699W0000CODILLO CERDO SALMUE     0000020000000000000000000000000
50590079010035000000401499W0000BABILLA VACUNO (PIEZ     0000020000000000000000000000000
50590096010036000000400899W0000CALLOS VACUNO KG         0000020000000000000000000000000
50590090010039000000401299W0000CARNE GUISAR VACUNO      0000020000000000000000000000000
50590091010042000000401399W0000CHULETA AGUJA VACUNO     0000020000000000000000000000000
50590129010047000000402199W0000CHULETON VACA MADURA     0000020000000000000000000000000
50590077010048000000402299W0000CHULETON VACUNO KG       0000020000000000000000000000000
