64H      0104083003001610000031/10/1614:33000011781059568
L64      00101040830000170000000000003400000005780911009MINI FUETS               31/10/1614:330059568
L64      00201040830000000000000100000300000003000999009Z. CONO DE QUESO PARMESAN31/10/1614:330059568
L64      00301040830000000000000100000300000003000999007Z. CONO DE QUESO SEMI CAM31/10/1614:330059568
64H      0102019001001610000031/10/1614:53000006511059596
L64      00101020190000215000000000003030000006510931987Q. MANCHEGO CURADO LECHE 31/10/1614:530059596
64H      0101079001001610000031/10/1611:03000005001059224
L64      00101010790000000000000100000500000005000990427TAPA JAMON IBERICO       31/10/1611:030059224
64H      0104084001001610000031/10/1614:55000003001059599
L64      00101040840000000000000100000300000003000990400VASO CHIPS & HAM.-       31/10/1614:550059599
64H      0104083001001610000031/10/1614:46000010001059589
L64      00101040830000000000000200000500000010000999001Z. CONO DE ESPALDA IBERIC31/10/1614:460059589
64H      0101079001001610000031/10/1614:20000005001059540
L64      00101010790000000000000100000500000005000999001Z. CONO DE ESPALDA IBERIC31/10/1614:200059540
64H      0104093001001610000031/10/1614:38000005001059577
L64      00101040930000000000000100000500000005000999016Z. CONO MIXTO GOURMET    31/10/1614:380059577
64H      0104093001001610000031/10/1613:48000005001059480
L64      00101040930000000000000100000500000005000999016Z. CONO MIXTO GOURMET    31/10/1613:480059480
64H      0104093001001610000031/10/1614:54000005001059597
L64      00101040930000000000000100000500000005000999016Z. CONO MIXTO GOURMET    31/10/1614:540059597
64H      0104083002001610000031/10/1614:48000009001059591
L64      00101040830000000000000200000300000006000999007Z. CONO DE QUESO SEMI CAM31/10/1614:480059591
L64      00201040830000000000000100000300000003000999006Z. CONO DE BASTONETS     31/10/1614:480059591
64H      0101079001001610000031/10/1614:32000005001059565
L64      00101010790000000000000100000500000005000999001Z. CONO DE ESPALDA IBERIC31/10/1614:320059565
64H      0102020001001610000031/10/1614:32000004011059566
L64      00101020200000095000000000004225000004010900236MINI FUET DE TRUFA CAN PO31/10/1614:320059566
64H      0104093002001610000031/10/1614:33000006001059569
L64      00101040930000000000000100000300000003000999007Z. CONO DE QUESO SEMI CAM31/10/1614:330059569
L64      00201040930000000000000100000300000003000999002Z. CONO DE JAMON G. RVA P31/10/1614:330059569
64H      0101079001001610000031/10/1614:27000005001059555
L64      00101010790000000000000100000500000005000990427TAPA JAMON IBERICO       31/10/1614:270059555
64H      0104084002001610000031/10/1614:35000008001059571
L64      00101040840000000000000100000300000003000999009Z. CONO DE QUESO PARMESAN31/10/1614:350059571
L64      00201040840000000000000100000500000005000999001Z. CONO DE ESPALDA IBERIC31/10/1614:350059571
64H      0104093001001610000031/10/1614:41000005001059580
L64      00101040930000000000000100000500000005000999016Z. CONO MIXTO GOURMET    31/10/1614:410059580
64H      0104084001001610000031/10/1614:35000003001059573
L64      00101040840000000000000100000300000003000999007Z. CONO DE QUESO SEMI CAM31/10/1614:350059573
64H      0101079001001610000031/10/1614:42000005001059581
L64      00101010790000000000000100000500000005000999001Z. CONO DE ESPALDA IBERIC31/10/1614:420059581
64H      0104084001001610000031/10/1613:53000003001059489
L64      00101040840000000000000100000300000003000999002Z. CONO DE JAMON G. RVA P31/10/1613:530059489
64H      0104084001001610000031/10/1613:32000003001059450
L64      00101040840000000000000100000300000003000999002Z. CONO DE JAMON G. RVA P31/10/1613:320059450
64H      0104084001001610000031/10/1614:37000005001059576
L64      00101040840000000000000100000500000005000999001Z. CONO DE ESPALDA IBERIC31/10/1614:370059576
64H      0104093002001610000031/10/1613:51000010001059483
L64      00101040930000000000000100000500000005000999016Z. CONO MIXTO GOURMET    31/10/1613:510059483
L64      00201040930000000000000100000500000005000999001Z. CONO DE ESPALDA IBERIC31/10/1613:510059483
64H      0104093001001610000031/10/1614:36000005001059575
L64      00101040930000000000000100000500000005000999016Z. CONO MIXTO GOURMET    31/10/1614:360059575
64H      0104093005001610000031/10/1613:43000022001059468
L64      00101040930000000000000100000300000003000999004Z. CONO DE LLAMINETS     31/10/1613:430059468
