     1   1010010002PALETA                   0000642U02            012
    10  10010010001HIGADO DE CERDO          0000249W02            004
   100 100010010022JAMON PAIS BODEGA        0000899W02            000
  10001000010010006ENTREMONT                0000078U03312393071100000
  10011001010010012BIO CON FRESAS (X4)      0000201U02841050000100000
  10021002010010005VINAG.MODENA ORTALLI     0000276U02802426701002000
 100210021010010010CONEJO CONG.             0000370W02            006
  10031003010010005MIEL SAN FRANCIS.500     0000450U02841001421003000
 100310031010010010COLOMI FRANCES           0001603U02            006
 100320032010010010ELIMINAR CODORNIZ        0000200U02            006
 100380038010010029BLANQUETAS PATO          0000400W02            006
  10041004010010005ACEITE BORGES 0.4 2L     0000799U02841017901004000
  10051005010010005TOMATE TOMATOR 1/2K      0000050U02841220010100000
  10061006010010005VINAGRE BORGES BLN/1     0000071U02841017930100000
 100610061010010040HUEVERAS CARTON 210D     0001850U01            000
 100750075010010029MUSLOS PATO              0000648W02            006
  10081008010010006CAMEMBERT PORC.250G      0000206U03321893052100000
  10091009010010019SEMOLA 250G GALLO        0000042U02841006900100000
   101 101010010003BACON AHUMADO NATUR.     0000684W02            021
  10101010010010027AGUA FUEN.LIVIANA 5L     0000128U02842341510100000
  10111011010010005BROTES SOJA NATURAL      0000135U02841242204101000
  10121012010010000AMONIACO ALF.PERF.       0000054U01841009752101000
  10131013010010005PRINCIPE DE BEUKELER     0000074U02841018010130000
  10141014010010016MOIXERNONS DESECADO      0000295U02841242201101000
  10151015010010005TOMAT.NAT.PICUEZ.1KG     0000072U02841026800101000
  10161016010010006MATO DE 100 GR           0000108U03842008620101000
  10171017010010005TOMATE FRESC-ALBAH.0     0000340U02842625406101000
  10181018010010019CANELONES EL PAVO        0000056U02841017300101000
   102 102010010004CANTIMPALITOS            0001070W02            030
  10201020010010005ATUN ISABEL ROJO 3U      0000093U02841011121020000
  10211021010010012NATA UHT NAT.AZUC.       0000212U02841063370102000
  10221022010010005TOMAT.NAT.PICUEZ.1/2     0000036U02841026800102000
  10231023010010005ALUBIA GARRIDO/2         0000133U02841140413102000
  10241024010010019TORTELLINI CARNE         0000270U02841017301102000
  10251025010010005CONFIT CIRUEL.HERO/2     0000132U02841017501025000
  10271027010010019PASTA RAPI.PARMESANA     0000138U02841118906102000
   103 103010010004COSAS SALADAS            0000720W02            030
  10301030010010019CUS CUS                  0000054U03            000
  10351035010010005ENSALADA CHINA           0000180U02841242204103000
  10381038010010029FOIE GRAS MI-CUIT        0002500U02841151811315000
   104 104010010004CORTEZAS SECAS           0000523U02841032000702060
  10431043010010005MARCILLA GRANO NATUR     0000149U02841009110104000
  10451045010010005POLVORON. UNION 700G     0000170U02841088611045000
  10471047010010019ESTRELLAS 250G           0000042U02841006900104000
  10481048010010005SALS.ALLOLI CHOVI200     0000131U02841042211104000
  10491049010010005VENTRESC.BONIT.NORTE     0001155U02843700231104000
   105 105010010002CHISTORRA                0000800W02            021
  10501050010010005ATUN CLARO RIANXE.3U     0000126U02841013100105000
  10511051010010018BOMBON GUIND BRANDY      0001295U02841116371051000
  10541054010010019PIÑONES 250G             0000042U02841006900105000
  10561056010010005RELLENA.ESPAÑOLA 120     0000048U02841022601105000
   106 106010010004CHORIZO EXTRA OFERTA     0000655W02            030
  50375037010010018MUFFINS CLASSIC          0000650W02841424700003014
   991 991010010018SAFATA NORMAL COBOLT     0000465U02            000
  73487348010010012VIT.DEL.S.LIM.           0000190U02841050000734000
  73557355010010012VIT.DEL.STRAC.           0000215U02841050000735000
  72947294010010012BIO FIB.P.S.C.           0000201U02841050000729000
  70897089010010012VIT.CREMA CHOCOLATE      0000215U02841050000708000
  56465646010010012QUARK 250 GRS            0000141U02000008410564000
  90069006010010018TORTELL PASQUA           0000470U02842169900601000
  15011501010010028AGUA CARDO 1.5           0000026U02841432815001000
  24702470010010018MUFFINS FRUTA            0000650U02841424700031000
   969 969010010025MARANYONS EN GRA         0001370W03            000
  19591959010010005DODOT T-3 ACTIVITY       0001600U01841010804192000
  50645064010010026NIDINA 1 START           0001526U03841010001506000
  66196619010010028AGUA FONTDOR 1.5 P-6     0000214U02841073915661000
   877 877010010018FIGURA CHOCOLATE         0002210W02            000
   878 878010010018ANIMALES PASCUA          0001025U02            000
   703 703010010014TRUCHA AHUMADA           0002800W02            000
  46514651010010005TOMATE SOLIS CRISTAL     0000127U02841300006465000
  16901690010010005ARROZ RAPIDO NOMEN       0000109U02841016901300000
  13561356010010006MOZZ.BUFALA ZANETTI      0000195U03800271030135000
  10631063010010012ENRIQUECIDO NATU. X2     0000105U02841050000106000
  10641064010010012NATA RAM MONTAR          0000080U02841013210642000
  10651065010010006MINI BABYBEL 6U          0000205U03841089640106000
   107 107010010004CHORIZO BELLOTA CULA     0001710W02            030
  10701070010010012ENRIQUE.NAT.AZUC.X2      0000101U02841050000107000
  10711071010010005VINAGRE BALS.RIOJAVI     0000245U02841121131071000
  10741074010010040VAJILLAS FAIRY ULTR      0000190U01541314903107000
  10761076010010005SALS.COCKTAIL DL 300     0000105U02541005618107000
  10781078010010019LETRAS 250G              0000042U02841006900107000
   108 108010010004CHORIZO IBERICO SART     0001199W02            030
  10831083010010006LA VACA QUE RIE          0000094U03841025910105000
  10841084010010005GUIND.VASC.RIOVE.640     0000092U02841095400108000
 108600860010010001CORAZONES CERDO          0000200W02            004
 108610861010010001CORTEZA FRESCA CERDO     0000100W02            004
  10871087010010012ENRIQ.SABOR.FRESA X2     0000101U02841050000108000
   109 109010010004CHORIZO EXTRA            0000940U02842190601131030
  10941094010010012ENRIQ.SABOR LIMON X2     0000103U02841050000109000
  10951095010010005REMOLACHA RIOVERDE       0000082U02841095400023000
  10981098010010005FROSTIS 375G             0000237U02841018815109000
    11  11010010001LENGUAS CERDO            0000270W02            004
   110 110010010004CHORIZO REVILLA DULC     0001140U02842259803009030
  52885288010010005GELATINA NARANJA ROY     0000125U02841000000528000
  11011101010010005ARROZ AZUL GARRIDO/1     0000099U03841140411011000
  11041104010010005CEREZAS BOLSA ROJA       0000089U02410416911104000
  11051105010010005SAL YODADA FLUOR 1       0000039U02841060411050000
  11061106010010015VIÑA MAR SECO 3/4        0000175U01841127720110000
  11071107010010027AGUA VICHY 1L            0000085U02841074900110000
  11081108010010019MARISCOS 250             0000042U02841006900110000
  11091109010010004CHORIZO SARTA EXTRA      0000682U02847718000078030
   111 111010010004CHORIZO IBERICO CULA     0001080W02            030
  11101110010010005HUEVO HILADO 100 G       0000565U02841151811101000
  11111111010010026LECHE PULEVA OMEGA-3     0000117U02841170001111000
