0000010010007000002000000001           000000000W            AGUACATES                                                    
0000030010001890002000000001           000000000W            BREVAS                                                       
0000160010002990002000000001           000000000W            FRESON                                                       
0000540010001990006000000002           000000000W            PEPINOS                                                      
0000550010001890002000000001           000000000W            PLATANOS EXTRA CANARIAS                                      
0000720010001490006000000002           000000000W            TOMATE MADURO                                                
0001000010001990006000000002           000000000W            CALABACIN                                                    
0001070010001590007000000003           000000000W            CALABACIN OFERTA                                             
0001380010001990007000000003           000000000W            PIMIENTO ITALIANO OFERTA                                     
0001400010001290006000000003           000000000W            PIMIENTO ROJO OFERTA                                         
0001470010003890003000000001           000000000W            UVA  BLANCA ALEDO                                            
0002340010001110000000000000           000000000W            FFF                                                          
0004870010005390001000000001           000000000U            FRESON   CAJA 2 KG                                           
