L00001010620757                       17:2706/11/246414101000000000000000 000003736001000003736100000000000200000000002335000016000002335000002222000000001Acompanyament pollastre                                                            00
L000010106207582300100-00620725       17:3606/11/241601101PI09544671002   000004400001000004400100000000000200000000002750000016000002750000002222000000001Acompanyament pollastre                                                            00
L000010106207582300100-00620725       17:3606/11/241601101PI09544671002   000005500002000005500100000000000200000000002750000020000002750000002222000000001Acompanyament pollastre                                                            00
L000010106207582300100-00620725       17:3606/11/241601101PI09544671002   000005855003000005855100000000000200000000003165000018500003165000028601000000001Albergínia farcida de carn                                                         00
L000010106207582300100-00620725       17:3606/11/241601101PI09544671002   000005855004100005855100000000000200000000003165000018500003165000028601000000001Albergínia farcida de carn                                                         00
L000010106207582300100-00620725       17:3606/11/241601101PI09544671002   0-00058550041000058551000-000000020000000-003165-0001850-003165000028601000000001Albergínia farcida de carn                                                         00
L000010106207582300100-00620725       17:3606/11/241601101PI09544671002   1-00058550050-000585510000000000020000000-003165-0001850-003165000028601000000001Albergínia farcida de carn                                                         00
L000010106207582300100-00620725       17:3606/11/241601101PI09544671002   000000580006000000580100000000000200000010000000000005800000001100002265000000001Amanides CAL TET                                                                   00
L000010106207582300100-00620725       17:3606/11/241601101PI09544671002   000000580007100000580100000000000200000010000000000005800000001100002265000000001Amanides CAL TET                                                                   00
L000010106207582300100-00620725       17:3606/11/241601101PI09544671002   0-00005800071000005801000-00000002-0000010000000-0000580-000001100002265000000001Amanides CAL TET                                                                   00
L000010106207582300100-00620725       17:3606/11/241601101PI09544671002   1-00005800080-00005801000000000002-0000010000000-0000580-000001100002265000000001Amanides CAL TET                                                                   00
L000010106207582300100-00620725       17:3606/11/241601101PI09544671002   000006444009000006444100000000000200000000003580000018000003580000028602000000001Albergínia farcida de verdures                                                     00
L000010106207582300100-00620725       17:3606/11/241601101PI09544671002   000005800010000006444100000001000200000000003580000018000003580000028602000000001Albergínia farcida de verdures                                                     00
L000010106207582300100-00620725       17:3606/11/241601101PI09544671002   000000120011000000120100000000000200000010000000000001200000001100000675000000007Iogurt melmelada de llimona                                                        00
L000010106207582300100-00620725       17:3606/11/241601101PI09544671002   000398996012000398996040000000000100000000003990000999990003990000000001000000000                                                                                   00
