SECC	#	FAMI	#	NOMB
02	#	0201	#	VACUNO
02	#	0202	#	PORCINO
02	#	0203	#	OVINO Y CAPRINO
02	#	0204	#	EQUINO
02	#	0205	#	AVES Y CAZA
02	#	0206	#	ESPECIALIDADES NAVIDAD
02	#	0207	#	HUEVOS
02	#	0208	#	ELABORADOS
02	#	0209	#	CODIGOS GENERALES
02	#	0210	#	EMBUTIDOS
03	#	0301	#	CHARCUTERIA FIAMBRES
03	#	0302	#	QUESOS
03	#	0310	#	LOTES
03	#	5303	#	CHARCUTER÷A
04	#	0101	#	ALIMENTACI‡N SECA
04	#	0501	#	FRUTAS
04	#	0502	#	VERDURAS Y HORTALIZAS
04	#	0503	#	CODIGOS GENERALES
04	#	0505	#	FRUTOS SECOS
05	#	0701	#	PESCADO FRESCO
05	#	0702	#	MARISCO
05	#	0703	#	CODIGOS GENERALES
05	#	5305	#	PESCADER÷A
06	#	0601	#	PAN
06	#	0602	#	BOLLER÷A
06	#	0603	#	PASTELER÷A Y REPOSTER÷A
06	#	0604	#	CODIGOS GENERALES
06	#	5306	#	PANADER÷A
08	#	2001	#	BASE ARROZ
08	#	2002	#	BASE PASTA
08	#	2003	#	BASE VERDURAS
08	#	2004	#	BASE CARNE
08	#	2005	#	BASE PESCADO
08	#	2006	#	PIZZAS
08	#	2008	#	ENSALADILLA
08	#	2009	#	MASA
