PLU,CNAM,UP,W,MG,CSZ,ACT
4201,"CONFERENCE PEARS",2.20,0,5,9,0 
4202,"WHITE CABBAGE   ",0.89,0,7,9,0 
4203,"BANANA          ",0.99,0,2,9,0 
4204,"LOOSE BABY POTS ",1.75,0,9,9,0 
4205,"CASSAVA LOOSE   ",2.49,0,6,9,0 
4206,"PLANTAIN LOOSE  ",2.49,0,4,9,0 
4207,"DUDHI LOOSE     ",3.99,0,6,9,0 
4208,"LIMES           ",0.45,1,3,9,0 
4209,"LEMONS          ",0.45,1,3,9,0 
4210,"BROCCOLI        ",2.00,0,7,9,0 
4211,"TOMATOES LOOSE  ",2.39,0,11,9,0 
4212,"CHAYOTE LOOSE   ",2.49,0,6,9,0 
4213,"RED ONIONS      ",1.10,0,10,9,0 
4214,"MUSHROOMS LOOSE ",3.29,0,8,9,0 
4215,"SWEET POTATO    ",1.99,0,9,9,0 
4216,"ONIONS          ",0.99,0,10,9,0 
4218,"BRAEBURN APPLES ",2.20,0,1,9,0 
4219,"APPLES PINK LADY",3.80,0,1,9,0 
4220,"APPLE GRAN SMITH",2.09,0,1,9,0 
4221,"LOOSE ORANGES   ",0.45,1,3,9,0 
4222,"SPROUTS         ",2.25,0,7,9,0 
4223,"RED CABBAGE     ",0.89,0,7,9,0 
4224,"CARROTS         ",1.00,0,10,9,0 
4225,"LEEKS           ",1.99,0,7,9,0 
4226,"PARSNIP         ",1.95,0,10,9,0 
4227,"RED PEPPERS     ",0.80,1,11,9,0 
4228,"ORANGE PEPPERS  ",0.80,1,11,9,0 
4229,"YELLOW PEPPERS  ",0.80,1,11,9,0 
4230,"POTATOES BAKERS ",1.39,0,9,9,0 
4231,"BRAMLEY APPLES  ",2.00,0,1,9,0 
4232,"LOOSE GINGER    ",2.90,0,10,9,0 
4233,"MUDWALLS CHICORY",2.89,0,11,9,0 
